match_id,seat_id,zone_id,member_id,release_timestamp,released
1,13813,C,106322,2025-08-27 10:57:47,1
1,13735,C,119318,2025-08-28 05:00:39,1
1,11404,C,119503,2025-08-30 21:04:17,1
1,10042,C,107681,2025-08-31 03:49:59,1
1,2912,A,101905,2025-08-31 09:19:47,1
1,11908,C,116642,2025-09-01 00:23:57,1
1,5833,B,107700,2025-09-01 00:55:37,1
1,10437,C,117294,2025-09-01 02:12:38,1
1,17757,D,119649,2025-09-01 10:45:18,1
1,4032,A,110369,2025-09-02 10:37:31,1
1,10439,C,114394,2025-09-02 10:50:23,1
1,363,A,102310,2025-09-02 16:49:14,1
1,2809,A,108313,2025-09-02 19:02:55,1
1,15724,D,108668,2025-09-02 21:06:58,1
1,1625,A,108712,2025-09-03 07:23:44,1
1,12992,C,110447,2025-09-04 23:08:52,1
1,2108,A,109925,2025-09-04 23:47:40,1
1,17351,D,119389,2025-09-05 02:52:29,1
1,15206,D,105623,2025-09-05 13:24:42,1
1,4727,A,115227,2025-09-05 13:36:02,1
1,9003,B,105278,2025-09-06 01:33:03,1
1,19863,D,117184,2025-09-06 12:57:52,1
1,12395,C,114642,2025-09-07 02:21:08,1
1,15863,D,111471,2025-09-07 06:22:30,1
1,18641,D,108519,2025-09-07 11:23:58,1
1,1085,A,112493,2025-09-07 19:23:17,1
1,12907,C,119725,2025-09-07 20:27:19,1
1,9686,B,108457,2025-09-08 13:28:16,1
1,7181,B,103508,2025-09-08 13:46:33,1
1,13471,C,110305,2025-09-08 14:36:10,1
1,13673,C,115789,2025-09-08 21:22:44,1
1,1110,A,103662,2025-09-08 23:46:37,1
1,13614,C,101550,2025-09-09 02:56:47,1
1,2488,A,119846,2025-09-09 16:23:35,1
1,12303,C,117577,2025-09-09 20:40:43,1
1,4115,A,116180,2025-09-10 06:38:41,1
1,10329,C,114381,2025-09-10 06:48:47,1
1,5262,B,106270,2025-09-10 09:51:55,1
1,15649,D,102021,2025-09-11 12:41:18,1
1,10483,C,101336,2025-09-11 18:13:11,1
1,18748,D,113544,2025-09-12 05:23:17,1
1,11455,C,108736,2025-09-12 06:33:04,1
1,9430,B,112187,2025-09-12 06:42:34,1
1,15911,D,101851,2025-09-12 09:11:52,1
1,12843,C,104328,2025-09-12 16:24:11,1
1,5874,B,111393,2025-09-12 17:34:36,1
1,4311,A,101278,2025-09-12 20:22:17,1
1,17941,D,100663,2025-09-13 04:19:49,1
1,7326,B,100196,2025-09-13 05:52:39,1
1,2297,A,104049,2025-09-13 07:12:39,1
1,18325,D,104397,2025-09-13 12:43:16,1
1,14926,C,105525,2025-09-13 14:15:40,1
1,12804,C,112670,2025-09-13 14:39:13,1
1,13486,C,112884,2025-09-13 16:10:33,1
1,18555,D,102995,2025-09-13 18:02:14,1
1,14861,C,119931,2025-09-13 19:05:25,1
1,5706,B,101029,2025-09-13 19:47:23,1
1,16058,D,100404,2025-09-13 20:31:23,1
1,1732,A,101142,2025-09-14 06:37:59,1
1,13171,C,118975,2025-09-14 07:23:36,1
1,14436,C,107938,2025-09-14 08:01:17,1
1,14524,C,115938,2025-09-14 08:52:55,1
1,10550,C,104761,2025-09-14 14:53:39,1
1,19848,D,108730,2025-09-14 20:42:40,1
1,10167,C,113950,2025-09-15 04:28:51,1
1,6325,B,117445,2025-09-15 04:51:06,1
1,5810,B,113663,2025-09-15 06:42:58,1
1,2117,A,116454,2025-09-15 07:56:37,1
1,13549,C,109511,2025-09-15 08:13:39,1
1,4456,A,109278,2025-09-15 09:09:47,1
1,4849,A,119163,2025-09-15 10:24:56,1
1,13178,C,116811,2025-09-15 10:58:37,1
1,6424,B,116279,2025-09-15 13:14:19,1
1,6226,B,111056,2025-09-15 13:57:11,1
1,15123,D,114112,2025-09-15 14:59:31,1
1,13668,C,115608,2025-09-15 15:28:03,1
1,17376,D,110547,2025-09-15 19:18:10,1
1,2001,A,116562,2025-09-15 19:41:04,1
1,4887,A,102888,2025-09-15 20:44:34,1
1,9032,B,115226,2025-09-16 00:08:05,1
1,12834,C,106762,2025-09-16 01:44:29,1
1,12056,C,108255,2025-09-16 02:18:14,1
1,1722,A,113341,2025-09-16 06:04:29,1
1,14215,C,117693,2025-09-16 08:17:43,1
1,10495,C,116585,2025-09-16 13:09:42,1
1,11435,C,109780,2025-09-16 14:02:08,1
1,11587,C,101198,2025-09-16 16:02:34,1
1,18972,D,116662,2025-09-16 16:55:22,1
1,11534,C,102524,2025-09-16 17:05:33,1
1,15824,D,117687,2025-09-16 17:59:58,1
1,13265,C,112330,2025-09-16 19:53:27,1
1,10253,C,111768,2025-09-16 20:37:50,1
1,3092,A,113125,2025-09-16 22:47:56,1
1,19197,D,106889,2025-09-16 22:51:07,1
1,3133,A,115117,2025-09-16 23:02:09,1
1,16254,D,102152,2025-09-16 23:47:36,1
1,3725,A,113769,2025-09-16 23:55:04,1
1,15680,D,116222,2025-09-17 00:32:26,1
1,9969,B,116143,2025-09-17 02:30:54,1
1,12943,C,119738,2025-09-17 03:12:53,1
1,6247,B,103479,2025-09-17 05:04:30,1
1,11247,C,112401,2025-09-17 05:36:46,1
1,291,A,105885,2025-09-17 08:03:16,1
