match_id,zone_id,match_date,weekday,month,is_weekend,kick_off_time,competition,opponent_position,is_derby,team_position,last_match_lost,goal_difference_last_5,top_player_injured,incentives_to_release,is_rain,is_storm,is_wind,is_holiday,day_before_holiday,new_player_debuting,popular_concert_in_city,final_released_seats
1,A,2025-11-09,Sunday,11,True,18:30,LIGA,6,False,3,False,9,False,False,False,False,True,False,False,False,False,2049
1,B,2025-11-09,Sunday,11,True,18:30,LIGA,6,False,3,False,9,False,False,False,False,True,False,False,False,False,2473
1,C,2025-11-09,Sunday,11,True,18:30,LIGA,6,False,3,False,9,False,False,False,False,True,False,False,False,False,1867
1,D,2025-11-09,Sunday,11,True,18:30,LIGA,6,False,3,False,9,False,False,False,False,True,False,False,False,False,1861
2,A,2025-11-23,Sunday,11,True,21:00,CHAMPIONS_LEAGUE,2,True,4,False,11,False,False,True,False,False,False,False,False,False,1865
2,B,2025-11-23,Sunday,11,True,21:00,CHAMPIONS_LEAGUE,2,True,4,False,11,False,False,True,False,False,False,False,False,False,2273
2,C,2025-11-23,Sunday,11,True,21:00,CHAMPIONS_LEAGUE,2,True,4,False,11,False,False,True,False,False,False,False,False,False,2187
2,D,2025-11-23,Sunday,11,True,21:00,CHAMPIONS_LEAGUE,2,True,4,False,11,False,False,True,False,False,False,False,False,False,1543
3,A,2025-12-07,Sunday,12,True,21:00,CHAMPIONS_LEAGUE,2,True,1,False,8,False,False,False,False,True,True,False,False,False,2108
3,B,2025-12-07,Sunday,12,True,21:00,CHAMPIONS_LEAGUE,2,True,1,False,8,False,False,False,False,True,True,False,False,False,1772
3,C,2025-12-07,Sunday,12,True,21:00,CHAMPIONS_LEAGUE,2,True,1,False,8,False,False,False,False,True,True,False,False,False,1708
3,D,2025-12-07,Sunday,12,True,21:00,CHAMPIONS_LEAGUE,2,True,1,False,8,False,False,False,False,True,True,False,False,False,1713
4,A,2025-12-21,Sunday,12,True,21:00,CHAMPIONS_LEAGUE,9,False,3,False,9,False,True,False,False,True,False,False,True,False,1865
4,B,2025-12-21,Sunday,12,True,21:00,CHAMPIONS_LEAGUE,9,False,3,False,9,False,True,False,False,True,False,False,True,False,2006
4,C,2025-12-21,Sunday,12,True,21:00,CHAMPIONS_LEAGUE,9,False,3,False,9,False,True,False,False,True,False,False,True,False,2102
4,D,2025-12-21,Sunday,12,True,21:00,CHAMPIONS_LEAGUE,9,False,3,False,9,False,True,False,False,True,False,False,True,False,2250
5,A,2026-01-04,Sunday,1,True,18:30,LIGA,5,False,3,True,5,True,False,True,False,True,False,False,False,False,1938
5,B,2026-01-04,Sunday,1,True,18:30,LIGA,5,False,3,True,5,True,False,True,False,True,False,False,False,False,2436
5,C,2026-01-04,Sunday,1,True,18:30,LIGA,5,False,3,True,5,True,False,True,False,True,False,False,False,False,1702
5,D,2026-01-04,Sunday,1,True,18:30,LIGA,5,False,3,True,5,True,False,True,False,True,False,False,False,False,2080
6,A,2026-01-18,Sunday,1,True,18:30,LIGA,5,False,4,True,3,False,True,True,False,True,False,False,False,True,2336
6,B,2026-01-18,Sunday,1,True,18:30,LIGA,5,False,4,True,3,False,True,True,False,True,False,False,False,True,2231
6,C,2026-01-18,Sunday,1,True,18:30,LIGA,5,False,4,True,3,False,True,True,False,True,False,False,False,True,1923
6,D,2026-01-18,Sunday,1,True,18:30,LIGA,5,False,4,True,3,False,True,True,False,True,False,False,False,True,1938
7,A,2026-02-01,Sunday,2,True,18:30,LIGA,6,False,2,False,7,False,True,False,False,False,False,False,True,True,2005
7,B,2026-02-01,Sunday,2,True,18:30,LIGA,6,False,2,False,7,False,True,False,False,False,False,False,True,True,2257
7,C,2026-02-01,Sunday,2,True,18:30,LIGA,6,False,2,False,7,False,True,False,False,False,False,False,True,True,2476
7,D,2026-02-01,Sunday,2,True,18:30,LIGA,6,False,2,False,7,False,True,False,False,False,False,False,True,True,1644
8,A,2026-02-15,Sunday,2,True,18:30,LIGA,12,False,3,True,6,True,False,False,False,False,False,False,False,True,1876
8,B,2026-02-15,Sunday,2,True,18:30,LIGA,12,False,3,True,6,True,False,False,False,False,False,False,False,True,1446
8,C,2026-02-15,Sunday,2,True,18:30,LIGA,12,False,3,True,6,True,False,False,False,False,False,False,False,True,2078
8,D,2026-02-15,Sunday,2,True,18:30,LIGA,12,False,3,True,6,True,False,False,False,False,False,False,False,True,2066
9,A,2026-03-01,Sunday,3,True,18:30,LIGA,7,False,3,False,7,False,True,False,False,True,True,False,False,True,1499
9,B,2026-03-01,Sunday,3,True,18:30,LIGA,7,False,3,False,7,False,True,False,False,True,True,False,False,True,2307
9,C,2026-03-01,Sunday,3,True,18:30,LIGA,7,False,3,False,7,False,True,False,False,True,True,False,False,True,1639
9,D,2026-03-01,Sunday,3,True,18:30,LIGA,7,False,3,False,7,False,True,False,False,True,True,False,False,True,1930
10,A,2026-03-15,Sunday,3,True,18:30,LIGA,4,False,4,False,5,False,False,False,False,False,True,False,False,False,2011
10,B,2026-03-15,Sunday,3,True,18:30,LIGA,4,False,4,False,5,False,False,False,False,False,True,False,False,False,2207
10,C,2026-03-15,Sunday,3,True,18:30,LIGA,4,False,4,False,5,False,False,False,False,False,True,False,False,False,1944
10,D,2026-03-15,Sunday,3,True,18:30,LIGA,4,False,4,False,5,False,False,False,False,False,True,False,False,False,2152
