match_id,seat_id,zone_id,member_id,release_timestamp,released
1,14117,C,105503,2025-08-27 10:05:22,1
1,620,A,100305,2025-08-31 14:19:40,1
1,12604,C,103116,2025-09-02 01:30:52,1
1,9764,B,110193,2025-09-02 17:56:38,1
1,12848,C,110177,2025-09-03 07:45:21,1
1,9958,B,104535,2025-09-03 11:37:46,1
1,14791,C,105953,2025-09-03 17:48:22,1
1,8061,B,110993,2025-09-03 20:37:07,1
1,9391,B,107535,2025-09-04 15:04:31,1
1,5417,B,101024,2025-09-05 06:41:50,1
1,5241,B,109369,2025-09-05 07:17:34,1
1,1490,A,103919,2025-09-05 18:40:07,1
1,8062,B,104080,2025-09-05 19:00:18,1
1,3163,A,101308,2025-09-05 20:58:57,1
1,1926,A,107886,2025-09-05 22:51:36,1
1,4410,A,103005,2025-09-06 02:06:35,1
1,4164,A,106213,2025-09-06 02:37:14,1
1,15382,D,105147,2025-09-06 16:33:51,1
1,10938,C,100574,2025-09-07 10:37:55,1
1,6720,B,112933,2025-09-07 11:42:15,1
1,7533,B,112670,2025-09-07 16:17:11,1
1,9925,B,100819,2025-09-07 18:43:52,1
1,7654,B,100616,2025-09-07 22:19:40,1
1,994,A,109226,2025-09-08 02:51:39,1
1,5157,B,110443,2025-09-08 03:35:47,1
1,11934,C,107701,2025-09-08 04:33:16,1
1,14463,C,108027,2025-09-08 05:22:53,1
1,14024,C,118861,2025-09-08 16:28:08,1
1,8763,B,102128,2025-09-08 17:38:30,1
1,6539,B,107373,2025-09-09 08:07:47,1
1,1838,A,114028,2025-09-09 09:20:46,1
1,13542,C,106884,2025-09-09 14:42:34,1
1,7900,B,112093,2025-09-10 00:08:42,1
1,15572,D,117157,2025-09-10 07:18:52,1
1,16269,D,115081,2025-09-10 09:16:40,1
1,4870,A,117712,2025-09-10 11:40:10,1
1,11027,C,109039,2025-09-10 12:06:11,1
1,18585,D,108410,2025-09-11 02:06:38,1
1,13365,C,106972,2025-09-11 03:08:05,1
1,13360,C,107423,2025-09-11 04:21:51,1
1,6094,B,100183,2025-09-11 07:00:27,1
1,4523,A,107430,2025-09-11 11:18:10,1
1,14180,C,113665,2025-09-11 12:54:26,1
1,16085,D,119815,2025-09-11 13:04:16,1
1,14455,C,101971,2025-09-11 13:45:44,1
1,7265,B,105009,2025-09-11 16:16:36,1
1,3387,A,108655,2025-09-11 19:37:40,1
1,3614,A,117296,2025-09-11 20:34:04,1
1,10619,C,118448,2025-09-11 22:21:00,1
1,2676,A,100319,2025-09-12 01:37:26,1
1,13613,C,112313,2025-09-12 02:52:22,1
1,5582,B,108515,2025-09-12 04:11:41,1
1,3443,A,119816,2025-09-12 08:19:16,1
1,4999,A,116784,2025-09-12 10:40:26,1
1,10939,C,117262,2025-09-12 13:01:45,1
1,10088,C,115618,2025-09-12 20:29:49,1
1,17838,D,101858,2025-09-13 00:25:16,1
1,14865,C,100715,2025-09-13 08:29:27,1
1,10067,C,109647,2025-09-13 08:40:05,1
1,12545,C,110205,2025-09-13 09:08:21,1
1,14639,C,110448,2025-09-13 10:03:32,1
1,4201,A,115279,2025-09-13 19:38:06,1
1,6394,B,115598,2025-09-14 01:47:25,1
1,1427,A,109545,2025-09-14 06:21:27,1
1,8755,B,114467,2025-09-14 06:21:32,1
1,17428,D,114075,2025-09-14 09:19:33,1
1,13376,C,100899,2025-09-14 11:22:06,1
1,6065,B,116211,2025-09-14 14:52:21,1
1,2712,A,108652,2025-09-15 00:16:43,1
1,751,A,104732,2025-09-15 01:40:38,1
